Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Date,"[Western Canada,GASPRICE,NONE,SPOT]"
,,,,2024-01-01,1.63
,,,,2024-01-02,1.63
,,,,2024-01-03,1.68
,,,,2024-01-04,1.86
,,,,2024-01-05,2.36
,,,,2024-01-06,2.25
,,,,2024-01-07,2.25
,,,,2024-01-08,2.25
,,,,2024-01-09,2.58
,,,,2024-01-10,3.25
,,,,2024-01-11,3.46
,,,,2024-01-12,3.6
,,,,2024-01-13,13.86
,,,,2024-01-14,13.86
,,,,2024-01-15,13.86
,,,,2024-01-16,13.86
,,,,2024-01-17,2.19
,,,,2024-01-18,2.58
,,,,2024-01-19,2.33
,,,,2024-01-20,2.25
,,,,2024-01-21,2.25
,,,,2024-01-22,2.25
,,,,2024-01-23,1.91
,,,,2024-01-24,1.77
,,,,2024-01-25,1.97
,,,,2024-01-26,1.98
,,,,2024-01-27,1.75
,,,,2024-01-28,1.75
,,,,2024-01-29,1.75
,,,,2024-01-30,1.69
,,,,2024-01-31,1.7
,,,,2024-02-01,1.8
,,,,2024-02-02,1.76
,,,,2024-02-03,1.78
,,,,2024-02-04,1.78
,,,,2024-02-05,1.78
,,,,2024-02-06,1.93
,,,,2024-02-07,1.91
,,,,2024-02-08,1.85
,,,,2024-02-09,1.73
,,,,2024-02-10,1.68
,,,,2024-02-11,1.68
,,,,2024-02-12,1.68
,,,,2024-02-13,1.72
,,,,2024-02-14,1.68
,,,,2024-02-15,1.65
,,,,2024-02-16,1.67
,,,,2024-02-17,1.62
,,,,2024-02-18,1.62
,,,,2024-02-19,1.62
,,,,2024-02-20,1.62
,,,,2024-02-21,1.55
,,,,2024-02-22,1.69
,,,,2024-02-23,1.63
,,,,2024-02-24,1.61
,,,,2024-02-25,1.61
,,,,2024-02-26,1.61
,,,,2024-02-27,1.73
,,,,2024-02-28,1.68
,,,,2024-02-29,1.69
,,,,2024-03-01,1.73
,,,,2024-03-02,1.71
,,,,2024-03-03,1.71
,,,,2024-03-04,1.71
,,,,2024-03-05,1.9
,,,,2024-03-06,1.88
,,,,2024-03-07,1.89
,,,,2024-03-08,1.75
,,,,2024-03-09,1.64
,,,,2024-03-10,1.64
,,,,2024-03-11,1.64
,,,,2024-03-12,1.61
,,,,2024-03-13,1.6
,,,,2024-03-14,1.53
,,,,2024-03-15,1.61
,,,,2024-03-16,1.56
,,,,2024-03-17,1.56
,,,,2024-03-18,1.56
,,,,2024-03-19,1.68
,,,,2024-03-20,1.75
,,,,2024-03-21,1.77
,,,,2024-03-22,1.65
,,,,2024-03-23,1.6
,,,,2024-03-24,1.6
,,,,2024-03-25,1.6
,,,,2024-03-26,1.55
,,,,2024-03-27,1.63
,,,,2024-03-28,1.59
,,,,2024-03-29,1.59
,,,,2024-03-30,1.59
,,,,2024-03-31,1.59
,,,,2024-04-01,1.59
,,,,2024-04-02,1.58
,,,,2024-04-03,1.59
,,,,2024-04-04,1.65
,,,,2024-04-05,1.62
,,,,2024-04-06,1.52
,,,,2024-04-07,1.52
,,,,2024-04-08,1.52
,,,,2024-04-09,1.36
,,,,2024-04-10,1.37
,,,,2024-04-11,1.36
,,,,2024-04-12,1.36
,,,,2024-04-13,1.18
,,,,2024-04-14,1.18
,,,,2024-04-15,1.18
,,,,2024-04-16,1.14
,,,,2024-04-17,1.19
,,,,2024-04-18,1.23
,,,,2024-04-19,1.28
,,,,2024-04-20,1.37
,,,,2024-04-21,1.37
,,,,2024-04-22,1.37
,,,,2024-04-23,1.21
,,,,2024-04-24,1.07
,,,,2024-04-25,1.02
,,,,2024-04-26,0.94
,,,,2024-04-27,0.93
,,,,2024-04-28,0.93
,,,,2024-04-29,0.93
,,,,2024-04-30,1.17
,,,,2024-05-01,1.26
,,,,2024-05-02,1.32
,,,,2024-05-03,1.32
,,,,2024-05-04,1.23
,,,,2024-05-05,1.23
,,,,2024-05-06,1.23
,,,,2024-05-07,1.35
,,,,2024-05-08,1.39
,,,,2024-05-09,1.39
,,,,2024-05-10,1.34
